ID,commonName,lat,lon,TerminalName,Installed,Locked,InstallDate,RemovalDate,Temporary,NbBikes,NbEmptyDocks,NbDocks
195,"Milroy Walk, South Bank",51.507244,-0.106237,959,TRUE,FALSE,1.28E+12,,FALSE,5,25,30
194,"Hop Exchange, The Borough",51.504627,-0.091773,960,TRUE,FALSE,1.28E+12,,FALSE,18,38,56
196,"Union Street, The Borough",51.503688,-0.098497,961,TRUE,FALSE,1.28E+12,,FALSE,10,7,17
197,"Stamford Street, South Bank",51.505569,-0.111606,962,TRUE,FALSE,1.28E+12,,FALSE,21,6,27
193,"Bankside Mix, Bankside",51.505817,-0.100186,963,TRUE,FALSE,1.28E+12,,FALSE,46,14,60
119,"Bath Street, St. Luke's",51.525893,-0.090847,964,TRUE,FALSE,1.28E+12,,FALSE,14,3,18
148,"Tachbrook Street, Victoria",51.492111,-0.138364,965,TRUE,FALSE,,,FALSE,12,4,16
156,"New Kent Road, The Borough",51.494436,-0.092921,966,TRUE,FALSE,1.28E+12,,FALSE,16,17,33
54,"Golden Lane, Barbican",51.521747,-0.094475,967,TRUE,FALSE,1.28E+12,,FALSE,8,19,27
316,"Warwick Row, Westminster",51.497998,-0.14296,968,TRUE,FALSE,1.28E+12,1.54E+12,FALSE,19,1,21
13,"Scala Street, Fitzrovia",51.519914,-0.136039,970,TRUE,FALSE,1.28E+12,,FALSE,1,20,21
48,"Godliman Street, St. Paul's",51.512484,-0.099141,971,TRUE,FALSE,1.28E+12,,FALSE,4,21,25
98,"Hampstead Road, Euston",51.525542,-0.138231,972,TRUE,FALSE,1.28E+12,,FALSE,6,46,53
132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,973,TRUE,FALSE,1.28E+12,,FALSE,28,9,38
57,"Guilford Street , Bloomsbury",51.523346,-0.120202,974,TRUE,FALSE,1.28E+12,,FALSE,32,0,32
68,"Theobald's Road , Holborn",51.520596,-0.116688,975,TRUE,FALSE,1.28E+12,,FALSE,16,5,21
76,"Longford Street, The Regent's Park",51.525595,-0.144083,976,TRUE,FALSE,1.28E+12,,FALSE,13,8,21
77,"Russell Square Station, Bloomsbury",51.523418,-0.124121,978,TRUE,FALSE,1.28E+12,,FALSE,19,6,26
42,"Wenlock Road , Hoxton",51.530991,-0.093903,979,TRUE,FALSE,1.28E+12,,FALSE,16,10,28
12,"Malet Street, Bloomsbury",51.52168,-0.130431,980,TRUE,FALSE,1.28E+12,,FALSE,9,40,49
24,"British Museum, Bloomsbury",51.51908,-0.124678,981,TRUE,FALSE,1.28E+12,,FALSE,19,16,35
66,"Holborn Circus, Holborn",51.51795,-0.108657,982,TRUE,FALSE,1.28E+12,,FALSE,9,31,40
69,"Euston Road, Euston",51.526236,-0.134407,983,TRUE,FALSE,1.28E+12,,FALSE,8,16,24
55,"Finsbury Circus, Liverpool Street",51.517075,-0.086685,984,TRUE,FALSE,1.28E+12,,FALSE,21,12,33
67,"Hatton Garden, Holborn",51.518825,-0.108028,985,TRUE,FALSE,1.28E+12,,FALSE,16,12,28
51,"Finsbury Library , Finsbury",51.526717,-0.104298,986,TRUE,FALSE,1.28E+12,,FALSE,8,21,29
15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,988,TRUE,FALSE,1.28E+12,,FALSE,5,20,26
63,"Murray Grove , Hoxton",51.53089,-0.089782,989,TRUE,FALSE,1.28E+12,,FALSE,18,7,27
62,"Cotton Garden Estate, Kennington",51.490757,-0.106323,990,TRUE,FALSE,1.28E+12,,FALSE,17,7,24
104,"Crosswall, Tower",51.511594,-0.077121,991,TRUE,FALSE,1.28E+12,,FALSE,12,22,34
123,"St. John Street, Finsbury",51.52836,-0.104724,992,TRUE,FALSE,1.28E+12,,FALSE,0,18,18
20,"Drummond Street , Euston",51.527326,-0.136052,993,TRUE,FALSE,1.54E+12,,FALSE,6,22,28
85,"Tanner Street, Bermondsey",51.500647,-0.0786,994,TRUE,FALSE,1.28E+12,,FALSE,38,2,41
116,"Little Argyll Street, West End",51.514499,-0.141423,995,TRUE,FALSE,1.28E+12,,FALSE,10,11,21
125,"Borough High Street, The Borough",51.500694,-0.094524,996,TRUE,FALSE,1.28E+12,,FALSE,9,12,21
175,"Worship Street, Shoreditch",51.521668,-0.079608,997,TRUE,FALSE,1.53E+12,,FALSE,8,42,51
117,"Lollard Street, Vauxhall",51.49288,-0.114934,998,TRUE,FALSE,1.28E+12,,FALSE,10,13,25
101,"Queen Street 1, Bank",51.511553,-0.09294,999,TRUE,FALSE,1.28E+12,,FALSE,16,3,22
74,"Vauxhall Cross, Vauxhall",51.485917,-0.124469,1000,TRUE,FALSE,1.28E+12,,FALSE,13,2,17
142,"West Cromwell Road, Earl's Court",51.493724,-0.198286,1001,TRUE,FALSE,1.28E+12,,FALSE,12,12,24
150,"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,1002,TRUE,FALSE,1.28E+12,,FALSE,18,10,28
141,"Chapel Place, Marylebone",51.515308,-0.147203,1003,TRUE,FALSE,1.28E+12,,FALSE,10,18,29
25,"Doric Way , Somers Town",51.528833,-0.13225,1004,TRUE,FALSE,1.28E+12,,FALSE,8,42,50
131,"Eversholt Street , Camden Town",51.533005,-0.136792,1005,TRUE,FALSE,1.28E+12,,FALSE,7,9,16
88,"Bayley Street , Bloomsbury",51.518587,-0.132053,1006,TRUE,FALSE,1.28E+12,,FALSE,5,20,25
18,"Drury Lane, Covent Garden",51.51477,-0.122219,1007,TRUE,FALSE,1.28E+12,,FALSE,1,26,27
17,"Hatton Wall, Holborn",51.521661,-0.109006,1008,TRUE,FALSE,1.28E+12,,FALSE,5,21,26
19,"Taviton Street, Bloomsbury",51.52505,-0.131161,1009,TRUE,FALSE,1.28E+12,,FALSE,11,19,30
16,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,1010,TRUE,FALSE,1.28E+12,,FALSE,11,11,22
14,"Belgrove Street , King's Cross",51.529943,-0.123616,1011,TRUE,FALSE,1.28E+12,,FALSE,0,48,48
3,"Christopher Street, Liverpool Street",51.521283,-0.084605,1012,TRUE,FALSE,1.28E+12,,FALSE,5,26,32
4,"St. Chad's Street, King's Cross",51.530059,-0.120973,1013,TRUE,FALSE,1.28E+12,,FALSE,2,21,23
