Dock_ID,commonName_x,latitude_x,longitude_x,NbDocks_x,borough_x,postcode_x,description_code_x,oa11,laua,ward,lsoa11,msoa11,oac11,elevation,nearest_bus,nearest_tube,nearest_rail
684,"Neville Gill Close, Wandsworth",51.454752,-0.195197,32,Wandsworth,SW18 4TH,U,E00023152,E09000032,E05000624,E01004600,E02000940,3B1,6.285259247,137.9550602,1251.650607,917.897377
704,"Mexfield Road, East Putney",51.45682,-0.202802,18,Wandsworth,SW15 2RQ,R,E00022723,E09000032,E05000614,E01004511,E02000932,2D2,18.79437065,109.1290727,718.8387163,1114.14735
767,"Santos Road, Wandsworth",51.457059,-0.200806,30,Wandsworth,SW18 1NS,R,E00022696,E09000032,E05000614,E01004511,E02000932,2D2,15.5713501,21.88092393,801.2846834,938.6225667
766,"Ram Street, Wandsworth",51.457529,-0.192165,25,Wandsworth,SW18 4LD,M,E00022687,E09000032,E05000614,E01004509,E02000932,3B3,6.049758434,51.35432984,1340.192303,524.5533291
637,"Spencer Park, Wandsworth Common",51.45787,-0.174691,25,Wandsworth,SW18 2SR,R,E00022718,E09000032,E05000614,E01004508,E02000934,2D2,22.74934578,148.4505607,1894.828615,840.241706
724,"Alma Road, Wandsworth",51.457991,-0.184806,28,Wandsworth,SW18 1AH,R,E00022719,E09000032,E05000614,E01004514,E02000934,2D2,22.50649834,97.21083106,1888.298547,533.6412269
689,"Spanish Road, Clapham Junction",51.459225,-0.180884,30,Wandsworth,SW18 2HY,R,E00022720,E09000032,E05000614,E01004510,E02000934,2D3,19.11449623,77.25803181,2149.734782,607.7529864
705,"Upper Richmond Road, Putney",51.459715,-0.212145,25,Wandsworth,SW15 2SP,M,E00023205,E09000032,E05000625,E01004609,E02000932,2D3,17.09993744,116.2245378,72.99913136,402.4640591
629,"Morie Street, Wandsworth",51.459953,-0.190184,28,Wandsworth,SW18 1BN,R,E00022715,E09000032,E05000614,E01004509,E02000932,2D2,5.892771721,56.39974449,1456.368654,262.3985279
833,"Saltoun Road, Brixton",51.460232,-0.115375,42,Lambeth,SW2 1BX,R,E00015343,E09000022,E05000420,E01003050,E02000633,3B3,17.56781578,11.77359677,291.4631076,371.4934363
776,"Abyssinia Close, Clapham Junction",51.460333,-0.167029,20,Wandsworth,SW11 1NX,M,E00022924,E09000032,E05000619,E01004552,E02000930,2D3,9.820198059,105.9524847,1575.320074,516.7322951
685,"Osiers Road, Wandsworth",51.46067,-0.198735,30,Wandsworth,SW18 1HE,R,E00171054,E09000032,E05000625,E01033093,E02000932,2D3,6.749207497,95.52877878,905.7726021,694.59685
694,"Putney Rail Station, Putney",51.460717,-0.216526,20,Wandsworth,SW15 2SW,M,E00023205,E09000032,E05000625,E01004609,E02000932,2D3,13.81214809,72.26846512,357.8191648,148.7054599
743,"Oxford Road, Putney",51.460792,-0.212607,29,Wandsworth,SW15 2LQ,PR,E00023200,E09000032,E05000625,E01004602,E02000932,2D1,13.20854473,22.43167561,112.4113537,342.5091057
621,"Wandsworth Town Station, Wandsworth",51.460864,-0.187427,33,Wandsworth,SW18 1AL,PR,E00022719,E09000032,E05000614,E01004514,E02000934,2D2,6.056278229,92.94401262,1666.549082,140.3154947
688,"Northfields, Wandsworth",51.460951,-0.200667,28,Wandsworth,SW18 1PP,M,E00170901,E09000032,E05000625,E01033093,E02000932,2D2,6.955070972,154.7982103,767.8720747,831.6343256
665,"Smugglers Way, Wandsworth",51.461083,-0.191722,28,Wandsworth,SW18 1EG,NR,E00171052,E09000032,E05000614,E01004509,E02000932,2D3,5.55259037,177.1440997,1401.131265,199.4225059
768,"Clapham Common North Side, Clapham Common",51.461343,-0.159322,37,Wandsworth,SW4 9SH,PR,E00023108,E09000032,E05000623,E01004586,E02000931,2D2,20.31980896,41.48728327,1220.51842,855.0634929
794,"Victoria Rise, Clapham Common",51.461376,-0.147804,23,Lambeth,SW4 0RW,R,E00015325,E09000022,E05000419,E01003040,E02000630,3D3,20.50765419,88.29841584,607.706609,1120.895616
355,"Clapham Common Station, Clapham Common",51.461388,-0.139221,21,Lambeth,SW4 0HY,M,E00015324,E09000022,E05000419,E01003039,E02000630,2D3,21.57291985,31.18485295,95.19416994,671.1484951
708,"Disraeli Road, Putney",51.46161,-0.216145,33,Wandsworth,SW15 2DR,PR,E00023196,E09000032,E05000625,E01004609,E02000932,2D3,10.8633728,46.16687382,400.13848,47.13709703
777,"Limburg Road, Clapham Junction",51.461923,-0.165297,21,Wandsworth,SW11 1HD,R,E00022919,E09000032,E05000619,E01004552,E02000930,2D2,16.72367287,80.32823155,1523.703484,506.8049656
623,"Nantes Close, Wandsworth",51.46193,-0.180791,22,Wandsworth,SW18 1JL,R,E00170953,E09000032,E05000614,E01004515,E02000934,2D3,7.736336708,151.9637847,2149.739556,563.4084306
728,"Putney Bridge Road, East Putney",51.461999,-0.20624,29,Wandsworth,SW15 2NA,M,E00171086,E09000032,E05000625,E01004609,E02000932,2D3,10.00290775,102.6326603,400.13848,727.1111663
734,"Plough Terrace, Clapham Junction",51.462305,-0.175407,31,Wandsworth,SW11 2AD,R,E00022714,E09000032,E05000614,E01004508,E02000934,2D2,16.77105522,37.55488672,2167.213417,407.1968112
678,"Esmond Street, Putney",51.462312,-0.211468,30,Wandsworth,SW15 2LG,R,E00023198,E09000032,E05000625,E01004602,E02000932,2D1,11.43702221,159.1557115,311.0581207,387.4722311
764,"St. John's Road, Clapham Junction",51.462392,-0.168292,33,Wandsworth,SW11 1QF,R,E00022911,E09000032,E05000619,E01004551,E02000934,3D3,8.473869324,36.18651242,1756.871649,288.0191387
709,"Montserrat Road , Putney",51.463211,-0.21555,23,Wandsworth,SW15 2LA,R,E00023193,E09000032,E05000625,E01004602,E02000932,2D2,9.983940125,83.56623171,505.2779598,214.7746795
675,"Usk Road, Clapham Junction",51.463489,-0.182126,30,Wandsworth,SW11 2RT,R,E00022841,E09000032,E05000617,E01004538,E02000929,3D2,4.799321175,118.2886482,1906.06149,477.0313464
832,"Ferndale Road, Brixton",51.464019,-0.115781,30,Lambeth,SW9 8BJ,U,E00015390,E09000022,E05000421,E01003053,E02000632,3D2,13.86607742,100.6480477,153.9999713,96.41172963
693,"Felsham Road, Putney",51.464786,-0.215618,18,Wandsworth,SW15 1SY,R,E00023226,E09000032,E05000625,E01004608,E02000928,3D3,9.005385399,50.54779688,601.4125258,317.0970869
735,"Grant Road East, Clapham Junction",51.464894,-0.173029,28,London Borough of Wandsworth,SW11 2FR,U,E00022838,E09000032,E05000617,E01004537,E02000929,3B1,5.368379593,198.1419935,2168.201388,188.851869
808,"Gauden Road, Clapham",51.464995,-0.130908,28,Lambeth,SW4 6LE,PR,E00015582,E09000022,E05000425,E01003090,E02000629,3D3,14.92442894,77.93137099,126.3200652,240.2961066
683,"Dorothy Road, Clapham Junction",51.465064,-0.16375,28,Wandsworth,SW11 2JJ,R,E00023096,E09000032,E05000623,E01004588,E02000930,2D3,14.17706203,80.24414754,1740.948793,508.77112
609,"Sugden Road, Clapham",51.465123,-0.157788,19,Wandsworth,SW11 5RW,M,E00023131,E09000032,E05000623,E01004591,E02000927,2D3,17.45527649,70.79813153,1345.18998,921.1198565
673,"Hibbert Street, Battersea",51.46517,-0.180389,36,Wandsworth,SW11 2BZ,R,E00022835,E09000032,E05000617,E01004537,E02000929,3D3,5.059315681,45.3540288,1860.658905,679.065321
